url,title,company,origin,tech
https://www.finn.no/job/fulltime/ad.html?finnkode=334886700,Teamleder innenfor forvaltning- og skydriftsleveranser,BOUVET NORGE AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334797007,Tekniske prosjektledere/arkitekter (senior og junior),Seeds Consulting AS,finn.no,"Git, React, Vue.js"
https://www.finn.no/job/fulltime/ad.html?finnkode=334885012,Vi søker dataviter (data scientist) til spennende utviklingsarbeid med tekstanalyse,Norges Forskningsråd,finn.no,"Python, SQL, Azure"
https://www.finn.no/job/fulltime/ad.html?finnkode=334884664,Come join our team!,Odfjell Technology AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334864817,Ønsker du en nøkkelposisjon i et av våre viktigste prosjekter?,Skatteetaten,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334840895,Sjelden mulighet for erfaren utvikler i et av byens største teknologimiljø,Sparebanken Vest,finn.no,"Kotlin, React, Azure, Swift"
https://www.finn.no/job/fulltime/ad.html?finnkode=334836208,Developing software for the energy sector,Carnain,finn.no,"Unity, DevOps"
https://www.finn.no/job/fulltime/ad.html?finnkode=334821200,Do you have passion about modern technology and are dedicated to delivering high-quality products?,Santander,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334799430,Join OMV Norge AS for your new adventure,OMV Norge AS,finn.no,"Data Science, Python"
https://www.finn.no/job/fulltime/ad.html?finnkode=334776826,IT-rådgjevar Luster Sparebank,Luster Sparebank,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334801292,Vil du bidra til å beskytte oss mot digitale trusler?,Statens pensjonskasse,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334792661,Vi søker nå en IT-driftsleder til spennende selskap i Drammen,AutoMateriell AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334790790,IT GRC Manager,Statkraft AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334790860,La oss ta skyreisen sammen!,Fremtind,finn.no,AWS
https://www.finn.no/job/fulltime/ad.html?finnkode=334783794,Atea ser etter nettverkskonsulent i Bodø - vil du være med på laget?,Atea,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334783580,SME Information Management,Statkraft AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334782825,Ønsker du å bidra til sikkerheten av kritiske systemer?,Hydro Aluminium Metal,finn.no,
https://www.finn.no/job/parttime/ad.html?finnkode=230214718,Deltidsjobb i ledende FinTech-selskap,Aritma,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334761255,Er du vår nye Plattformarkitekt?,NRK,finn.no,"Kubernetes, DevOps, Python, Azure, Google Cloud"
https://www.finn.no/job/fulltime/ad.html?finnkode=334763461,Invester i det viktigste innen teknologi: DEG!,EXPERIS AS,finn.no,"Scrum, Java, Kotlin, Azure, AWS"
https://www.finn.no/job/parttime/ad.html?finnkode=334753475,Lyst på jobb i Norges raskest voksende cybersikkerhetsselskap?,Defendable AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334758549,Er du Android-utvikler og vil være vår nye kollega i NRK TV?,NRK,finn.no,"Android, Kotlin"
https://www.finn.no/job/fulltime/ad.html?finnkode=334757469,Elsker du testledelse og funksjonell testing og ønsker å utvikle de fantastiske folka våre?,Fremtind,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334757455,Vi søker en erfaren UX-ressurs som kan være faglig ledestjerne i arbeidet med vår elektroniske pasient-journal!,WEBMED EPJ AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334757188,Webmed ser etter fullstack-utvikler! Er du vår nye stjerne?,WEBMED EPJ AS,finn.no,"React, Docker, Kubernetes"
https://www.finn.no/job/fulltime/ad.html?finnkode=334757270,Er du NRK TVs nye backend-utvikler?,NRK,finn.no,API
https://www.finn.no/job/fulltime/ad.html?finnkode=334756552,Elsker du testmiljø og testutvikling og ønsker å utvikle de fantastiske folka våre?,Fremtind,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334756369,Er du utvikler og vil være med på å lage nye løsninger for NRKs TV-kanaler?,NRK,finn.no,"Docker, Azure, Python, Go, Java, Git, Kubernetes"
https://www.finn.no/job/fulltime/ad.html?finnkode=333558963,Frontend-utvikler som digger streaming og e-demokrati,Aventia Media AS,finn.no,"HTML, CSS, Angular"
https://www.finn.no/job/fulltime/ad.html?finnkode=334749760,Vil du skape muligheter i det grønne skiftet?,Lede AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334752704,Løsningsarkitekt med ERP- og IT-implementeringserfaring?,Centric IT Professionals AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334748007,IT sikkerhetsarkitekt,Arbeidstilsynet,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334748801,Enova søker studenter til et spennende sommeroppdrag der du kan bidra til Norges klimaomstilling.,Enova SF,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334686418,Vil du være med å bygge fremtidens Norge? Søk internship i Statsbygg,Statsbygg,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334682237,Spennende karrieremulighet: Forretnings- og Regelanalytiker på store samfunnsprosjekter!,Decisive AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334664971,Er du god på skyløsninger?,Digitaliseringsdirektoratet,finn.no,"Azure, Kubernetes, CI/CD"
https://www.finn.no/job/fulltime/ad.html?finnkode=334635062,Syns du det er gøy å skape nye ting?,Keystone.no AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334661522,Har du interesse for maskinlæring og evne til å operasjonalisere ML-modeller?,Etterretningstjenesten,finn.no,"Scala, Python"
